# wavelength_um,flux_ratio
2.000000e-01,4.014125e-11
2.002001e-01,4.028484e-11
2.004004e-01,4.020559e-11
2.006009e-01,4.013979e-11
2.008016e-01,4.002279e-11
2.010025e-01,3.998576e-11
2.012036e-01,3.995568e-11
2.014049e-01,3.995906e-11
2.016064e-01,3.979536e-11
2.018081e-01,3.966279e-11
2.020100e-01,3.970766e-11
2.022121e-01,3.956007e-11
2.024145e-01,3.944917e-11
2.026170e-01,3.939660e-11
2.028197e-01,3.931450e-11
2.030226e-01,3.920973e-11
2.032257e-01,3.913771e-11
2.034291e-01,3.894521e-11
2.036326e-01,3.884713e-11
2.038363e-01,3.877698e-11
2.040403e-01,3.866639e-11
2.042444e-01,3.858103e-11
2.044488e-01,3.848828e-11
2.046533e-01,3.831757e-11
2.048581e-01,3.817205e-11
2.050630e-01,3.804559e-11
2.052682e-01,3.799063e-11
2.054736e-01,3.794558e-11
2.056791e-01,3.783157e-11
2.058849e-01,3.775691e-11
2.060909e-01,3.770905e-11
2.062971e-01,3.765536e-11
2.065035e-01,3.745581e-11
2.067101e-01,3.732076e-11
2.069169e-01,3.719246e-11
2.071239e-01,3.713725e-11
2.073312e-01,3.699492e-11
2.075386e-01,3.682979e-11
2.077462e-01,3.678795e-11
2.079541e-01,3.661270e-11
2.081622e-01,3.635237e-11
2.083704e-01,3.631665e-11
2.085789e-01,3.620690e-11
2.087876e-01,3.606790e-11
2.089965e-01,3.587581e-11
2.092056e-01,3.577040e-11
2.094149e-01,3.559193e-11
2.096244e-01,3.550487e-11
2.098341e-01,3.529673e-11
2.100441e-01,3.515177e-11
2.102542e-01,3.504952e-11
2.104646e-01,3.494315e-11
2.106751e-01,3.480066e-11
2.108859e-01,3.472040e-11
2.110969e-01,3.463539e-11
2.113081e-01,3.451650e-11
2.115195e-01,3.444699e-11
2.117312e-01,3.435014e-11
2.119430e-01,3.420368e-11
2.121550e-01,3.409049e-11
2.123673e-01,3.392085e-11
2.125798e-01,3.378449e-11
2.127925e-01,3.361433e-11
2.130054e-01,3.344742e-11
2.132185e-01,3.325508e-11
2.134318e-01,3.309630e-11
2.136453e-01,3.296795e-11
2.138591e-01,3.277256e-11
2.140731e-01,3.261473e-11
2.142872e-01,3.229702e-11
2.145016e-01,3.206571e-11
2.147162e-01,3.183308e-11
2.149311e-01,3.168714e-11
2.151461e-01,3.143796e-11
2.153614e-01,3.113792e-11
2.155768e-01,3.090892e-11
2.157925e-01,3.072980e-11
2.160084e-01,3.054296e-11
2.162245e-01,3.028298e-11
2.164409e-01,3.007613e-11
2.166574e-01,2.982130e-11
2.168742e-01,2.958232e-11
2.170912e-01,2.925333e-11
2.173084e-01,2.896525e-11
2.175258e-01,2.867821e-11
2.177434e-01,2.844398e-11
2.179613e-01,2.807606e-11
2.181793e-01,2.786802e-11
2.183976e-01,2.760707e-11
2.186161e-01,2.734413e-11
2.188349e-01,2.699928e-11
2.190538e-01,2.664765e-11
2.192730e-01,2.631659e-11
2.194923e-01,2.602014e-11
2.197120e-01,2.571416e-11
2.199318e-01,2.532978e-11
2.201518e-01,2.505117e-11
2.203721e-01,2.481374e-11
2.205926e-01,2.453882e-11
2.208133e-01,2.420869e-11
2.210342e-01,2.391315e-11
2.212553e-01,2.359220e-11
2.214767e-01,2.324338e-11
2.216983e-01,2.289951e-11
2.219201e-01,2.266935e-11
2.221421e-01,2.232718e-11
2.223644e-01,2.204705e-11
2.225869e-01,2.167557e-11
2.228096e-01,2.133837e-11
2.230325e-01,2.089567e-11
